x_steps,y_steps
13097,2716
13097,2413
13097,2035
13097,1621
13097,1210
13097,837
13097,530
13097,302
13097,156
13097,80
13097,53
13097,50
13278,50
13278,53
13278,80
13278,156
13278,302
13278,530
13278,837
13278,1210
13278,1621
13278,2035
13278,2413
13278,2716
13278,2912
13278,2980
13460,2980
13460,2912
13460,2716
13460,2413
13460,2035
13460,1621
13460,1210
13460,837
13460,530
13460,302
13460,156
13460,80
13460,53
13460,50
13642,50
13642,53
13642,80
13642,156
13642,302
13642,530
13642,837
13642,1210
13642,1621
13642,2035
13642,2413
13642,2716
13642,2912
13642,2980
13823,2980
13823,2912
13823,2716
13823,2413
13823,2035
13823,1621
13823,1210
13823,837
13823,530
13823,302
13823,156
13823,80
13823,53
13823,50
14005,50
14005,53
14005,80
14005,156
14005,302
14005,530
14005,837
14005,1210
14005,1621
14005,2035
14005,2413
14005,2716
14005,2912
14005,2980
14187,2980
14187,2912
14187,2716
14187,2413
14187,2035
14187,1621
14187,1210
14187,837
14187,530
14187,302
14187,156
14187,80
14187,53
14187,50
14368,50
14368,53
14368,80
14368,156
14368,302
14368,530
14368,837
14368,1210
14368,1621
14368,2035
14368,2413
14368,2716
14368,2912
14368,2980
14550,2912
14550,2716
14550,2413
14550,2035
14550,1621
14550,1210
14550,837
14550,530
14550,302
14550,156
14550,80
14550,53
